date,observed,trend,seasonal,resid
2019-09-20,399207.54000000004,114368.87142857144,20801.18047695594,264037.4880944727
2019-09-21,0.0,144184.7585714286,-111542.93456672598,-32641.82400470262
2019-09-22,0.0,155278.51,-100977.26519854026,-54301.24480145975
2019-09-23,126897.67000000001,162216.74999999997,43850.4095355246,-79169.48953552457
2019-09-24,356574.01,112832.65714285713,38414.599230450534,205326.75362669234
2019-09-25,112640.81000000001,112832.65714285713,41795.18525610053,-41987.03239895765
2019-09-26,140197.21999999986,112832.65714285713,67658.82526623465,-40294.26240909193
2019-09-27,53518.89000000001,96180.69999999998,20801.18047695594,-63462.990476955914
2019-09-28,0.0,133313.95714285722,-111542.93456672598,-21771.022576131247
2019-09-29,0.0,130681.75714285723,-100977.26519854026,-29704.491944316964
2019-09-30,10333.970000000003,162660.8300000001,43850.4095355246,-196177.2695355247
2019-10-01,616506.8100000008,157194.02428571437,38414.599230450534,420898.18648383586
2019-10-02,94215.40999999997,157194.02428571437,41795.18525610053,-104773.79954181492
2019-10-03,364050.73,157194.02428571437,67658.82526623465,139197.88044805097
2019-10-04,15251.250000000002,197889.8771428572,20801.18047695594,-203439.80761981313
2019-10-05,0.0,111934.27857142851,-111542.93456672598,-391.34400470253604
2019-10-06,0.0,130753.92999999996,-100977.26519854026,-29776.6648014597
2019-10-07,295204.93999999977,105960.83571428565,43850.4095355246,145393.6947501895
2019-10-08,14817.619999999997,106121.66571428566,38414.599230450534,-129718.6449447362
2019-10-09,225952.96999999997,106121.66571428566,41795.18525610053,78036.1190296138
2019-10-10,190499.0699999999,106121.66571428566,67658.82526623465,16718.579019479585
2019-10-11,16377.059999999996,92030.66714285711,20801.18047695594,-96454.78761981305
2019-10-12,0.0,100564.16714285711,-111542.93456672598,10978.767423868863
2019-10-13,0.0,116598.62571428568,-100977.26519854026,-15621.360515745415
2019-10-14,196567.94999999992,96493.59285714285,43850.4095355246,56223.94760733247
2019-10-15,74552.12000000005,163161.59714285718,38414.599230450534,-127024.07637330766
2019-10-16,338194.18000000005,163161.59714285718,41795.18525610053,133237.39760104235
2019-10-17,49763.840000000004,163161.59714285718,67658.82526623465,-181056.58240909182
2019-10-18,483053.0900000004,147219.5028571429,20801.18047695594,315032.40666590154
2019-10-19,0.0,138436.56857142862,-111542.93456672598,-26893.634004702646
2019-10-20,0.0,120547.63571428573,-100977.26519854026,-19570.370515745468
2019-10-21,84973.29000000001,187875.6057142857,43850.4095355246,-146752.7252498103
2019-10-22,13071.579999999998,127247.44142857137,38414.599230450534,-152590.46065902192
2019-10-23,212971.64999999982,127247.44142857137,41795.18525610053,43929.02331532792
2019-10-24,521059.6299999998,127247.44142857137,67658.82526623465,326153.3633051938
2019-10-25,58655.94000000001,132944.33428571423,20801.18047695594,-95089.57476267016
2019-10-26,0.0,138709.33571428564,-111542.93456672598,-27166.401147559664
2019-10-27,0.0,137222.32571428566,-100977.26519854026,-36245.0605157454
2019-10-28,124851.54,69435.52714285713,43850.4095355246,11565.603321618262
2019-10-29,53426.58999999999,149015.08428571429,38414.599230450534,-134003.0935161648
2019-10-30,202562.58,149015.08428571429,41795.18525610053,11752.310458185173
2019-10-31,46552.03999999999,254603.57714285725,67658.82526623465,-275710.3624090919
2019-11-01,615712.84,237849.4742857144,20801.18047695594,357062.1852373296
2019-11-02,0.0,261801.48714285725,-111542.93456672598,-150258.55257613127
