id,create_uid,code,create_date,reconcile,deprecated,company_id,write_uid,currency_id,note,internal_type,write_date,user_type_id,last_time_entries_checked,name,wtaxf
188,1,4.2.1.06.000,3/7/18 15:26,FALSE,FALSE,1,6,,,other,3/8/19 20:06,16,,Gastos de calidad,
189,1,4.2.3.02.000,3/7/18 15:29,FALSE,FALSE,1,6,,,other,3/8/19 20:39,16,,Sueldos Administración,cashin_out
190,1,4.2.3.03.000,3/7/18 15:30,FALSE,FALSE,1,6,,,other,6/11/19 14:24,16,,F-931 - Cargas Sociales,
191,1,4.2.3.07.000,3/7/18 15:31,FALSE,FALSE,1,6,,,other,3/11/19 13:34,16,,Alquileres,
192,1,4.2.3.06.000,3/7/18 15:32,FALSE,FALSE,1,6,,,other,3/11/19 13:34,16,,Honorarios profesionales,
193,1,1.1.5.05.000,3/7/18 15:34,FALSE,FALSE,1,6,,,other,2/12/19 18:11,6,,Otros Créditos / Depósitos en garantía por alquileres,
194,1,4.2.3.12.000,3/7/18 15:35,FALSE,FALSE,1,1,,,other,6/11/19 15:39,16,,"Servicios: luz, gas, teléfono, otros",cashin_out
195,1,4.2.5.01.000,3/7/18 15:35,FALSE,FALSE,1,6,,,other,3/11/19 13:35,16,,Seguros,
196,1,4.2.3.04.000,3/7/18 15:36,FALSE,FALSE,1,1,,,other,3/7/18 15:36,16,,Papelería y Utiles de Oficina,
197,1,4.2.3.14.000,3/7/18 15:37,FALSE,FALSE,1,1,,,other,3/7/18 15:37,16,,Almuerzos y refrigerios,
198,1,4.2.3.05.000,3/7/18 15:37,FALSE,FALSE,1,6,,,other,3/11/19 13:33,16,,Gastos Varios de Administración,
199,1,4.2.2.04.000,3/7/18 15:38,FALSE,FALSE,1,6,,,other,3/11/19 13:29,16,,Movilidad,
202,1,4.2.4.01.000,3/7/18 15:42,FALSE,FALSE,1,6,,,other,3/11/19 13:34,16,,Gastos y comisiones bancarias,
203,1,1.2.1.05.000,3/7/18 15:42,FALSE,FALSE,1,1,,,other,3/7/18 15:42,6,,Equipos de Computación,
204,1,1.2.1.01.000,3/7/18 15:44,FALSE,FALSE,1,7,,,other,3/5/20 20:41,5,,Muebles y útiles,
205,1,1.2.1.04.000,3/7/18 15:44,FALSE,FALSE,1,1,,,other,3/7/18 15:44,6,,Investigación y desarrollo,
